UMUR (minggu);KEMATIAN Kumulatif (%);BERAT BADAN (g);KONSUMSI AIR MINUM (ml/ekor/hari);KONSUMSI PAKAN (g/ekor/hari);KUMULATIF KONSUMSI PAKAN (g/ekor);KESERAGAMAN %;% PROD. TELUR Current;TELUR HARIAN Kumulatif;TELUR PER HEN HOUSE Kumulatif;EGG MAS PER HH Kumulatif (kg);BERAT TELUR RATA-RATA (g/telur);;;;
1;0,40;68–72;18–28;12–14;84–98;85;;;;;;;;;
2;0,55;118–124;29–40;19–20;217–236;85;;;;;;;;;
3;0,65;184–194;35–48;23–24;379–403;85;;;;;;;;;
4;0,75;263–278;42–58;28–29;576–607;80;;;;;;;;;
5;0,85;353–373;51–70;34–35;813–853;80;;;;;;;;;
6;0,95;451–477;59–82;39–41;1088–1138;80;;;;;;;;;
7;1,05;555–586;68–92;45–46;1401–1462;85;;;;;;;;;
8;1,15;660–698;75–102;50–51;1748–1821;85;;;;;;;;;
9;1,25;764–807;81–112;54–56;2125–2212;85;;;;;;;;;
10;1,35;862–911;87–120;58–60;2529–2630;85;;;;;;;;;
11;1,45;952–1007;92–126;61–63;2955–3072;85;;;;;;;;;
12;1,55;1034–1093;95–132;63–66;3399–3532;85;;;;;;;;;
13;1,63;1107–1171;99–136;66–68;3858–4007;85;;;;;;;;;
14;1,70;1173–1240;102–140;68–70;4332–4498;85;;;;;;;;;
15;1,78;1232–1303;105–146;70–73;4824–5008;85;;;;;;;;;
16;1,85;1288–1361;111–152;74–76;5341–5543;85;;;;;;;;;
17;2,00;1342–1418;117–162;78–81;5888–6000;85;;;;;;;;;
18;0,25;1396–1475;125–172;83–86;581–602;90;6,1–7,7;0,4–0,5;0,4–0,5;;46,5–47,2;;83;–;86
19;0,30;1451–1533;134–184;89–92;1204–1246;90;22,4–27,1;2,0–2,4;2,0–2,4;0,1–0,1;49,3–50,0;;89;–;92
20;0,34;1507–1593;141–196;94–98;1862–1932;90;50,7–57,3;5,5–6,4;5,5–6,4;0,3–0,3;51,6–52,4;;94;–;98
21;0,38;1564–1653;149–206;99–103;2555–2653;90;75,7–80,5;10,8–12,1;10,8–12,1;0,6–0,6;53,5–54,3;;99;–;103
22;0,42;1620–1712;156–214;104–107;3283–3402;90;88,6–90,6;17,0–18,4;17,0–18,4;0,9–1,0;55,0–55,8;;104;–;107
23;0,47;1672–1768;161–222;107–111;4032–4179;90;93,2–94,1;23,6–25,0;23,5–24,9;1,3–1,4;56,4–57,2;;107;–;111
24;0,51;1719–1817;164–226;109–113;4795–4970;90;94,9–95,5;30,2–31,7;30,1–31,6;1,7–1,7;57,5–58,4;;109;–;113
25;0,56;1759–1859;167–230;111–115;5572–5775;90;95,7–96,2;36,9–38,4;36,8–38,3;2,1–2,1;58,4–59,3;;111;–;115
26;0,61;1790–1892;168–232;112–116;6356–6587;85;96,0–96,4;43,6–45,2;43,4–45,0;2,5–2,5;59,2–60,1;;112;–;116
27;0,65;1812–1915;168–232;112–116;7140–7399;85;96,2–96,6;50,4–51,9;50,1–51,7;2,9–2,9;59,9–60,8;;112;–;116
28;0,70;1827–1931;168–232;112–116;7924–8211;85;96,2–96,6;57,1–58,7;56,8–58,4;3,3–3,4;60,4–61,3;;112;–;116
29;0,75;1837–1942;168–232;112–116;8708–9023;85;96,2–96,6;63,8–65,5;63,5–65,1;3,7–3,8;60,9–61,8;;112;–;116
30;0,80;1844–1949;168–232;112–116;9492–9835;85;96,1–96,5;70,5–72,2;70,2–71,8;4,1–4,2;61,3–62,2;;112;–;116
31;0,86;1850–1955;168–232;112–116;10276–10647;85;96,1–96,5;77,3–79,0;76,8–78,5;4,5–4,6;61,7–62,6;;112;–;116
32;0,91;1856–1962;168–232;112–116;11060–11459;85;96,1–96,5;84,0–85,7;83,5–85,2;4,9–5,0;62,0–62,9;;112;–;116
33;0,96;1862–1969;168–232;112–116;11844–12271;85;95,9–96,3;90,7–92,5;90,1–91,9;5,3–5,4;62,3–63,2;;112;–;116
34;1,02;1868–1975;168–232;112–116;12628–13083;85;95,7–96,1;97,4–99,2;96,7–98,5;5,8–5,9;62,5–63,4;;112;–;116
35;1,08;1875–1982;168–232;112–116;13412–13895;85;95,6–96,0;104,1–105,9;103,4–105,2;6,2–6,3;62,7–63,6;;112;–;116
36;1,13;1882–1989;168–232;112–116;14196–14707;85;95,4–95,8;110,8–112,6;109,9–111,8;6,6–6,7;62,9–63,8;;112;–;116
37;1,19;1887–1995;168–232;112–116;14980–15519;85;95,2–95,7;117,4–119,3;116,5–118,4;7,0–7,1;63,1–64,0;;112;–;116
38;1,25;1892–2000;168–232;112–116;15764–16331;85;95,0–95,5;124,1–126,0;123,1–125,0;7,4–7,5;63,2–64,1;;112;–;116
39;1,31;1896–2004;168–232;112–116;16548–17143;85;94,8–95,3;130,7–132,7;129,6–131,6;7,9–8,0;63,3–64,2;;112;–;116
40;1,38;1899–2008;168–232;112–116;17332–17955;85;94,5–95,0;137,3–139,3;136,2–138,2;8,3–8,4;63,4–64,4;;112;–;116
41;1,44;1902–2011;168–232;112–116;18116–18767;85;94,4–94,9;143,9–146,0;142,7–144,7;8,7–8,8;63,5–64,5;;112;–;116
42;1,51;1905–2013;168–232;112–116;18900–19579;85;94,1–94,6;150,5–152,6;149,1–151,2;9,1–9,2;63,6–64,6;;112;–;116
43;1,57;1907–2016;168–232;112–116;19684–20391;85;93,8–94,4;157,1–159,2;155,6–157,7;9,5–9,6;63,7–64,7;;112;–;116
44;1,64;1909–2018;168–232;112–116;20468–21203;85;93,5–94,1;163,6–165,8;162,0–164,2;9,9–10,1;63,8–64,8;;112;–;116
45;1,71;1911–2020;168–232;112–116;21252–22015;85;93,2–93,8;170,2–172,4;168,4–170,6;10,4–10,5;63,9–64,9;;112;–;116
46;1,79;1912–2021;168–232;112–116;22036–22827;85;92,9–93,5;176,7–178,9;174,8–177,1;10,8–10,9;63,9–64,9;;112;–;116
